City_ru,City
Копейск,Kopeysk
Королёв,Korolev
Кострома,Kostroma
Котельники,Boilermakers
Котлас,Kotlas
Красногорск,Krasnogorsk
Краснодар,Krasnodar
Красное Село,Red Village
Краснокаменск,Krasnokamensk
Краснокамск,Krasnokamsk
Краснотурьинск,Krasnoturinsk
Красноярск,Krasnoyarsk
Кропоткин,Kropotkin
Крымск,Krymsk
Кстово,Kstovo
Кузнецк,Kuznetsk
Кумертау,Kumertau
Кунгур,Kungur
Курган,Mound
Курск,Kursk
Кызыл,Kyzyl
Кызылорда,Kyzylorda
Лабинск,Labinsk
Лениногорск,Leninogorsk
Ленинск-Кузнецкий,Leninsk-Kuznetsky
Лесосибирск,Lesosibirsk
Лида,Lida
Липецк,Lipetsk
Лиски,Liski
Лобня,Lobnya
Лысьва,Lysva
Лыткарино,Lytkarino
Люберцы,Lyubertsy
Магадан,Magadan
Магнитогорск,Magnitogorsk
Майкоп,Maikop
Махачкала,Makhachkala
Междуреченск,Mezhdurechensk
Мелеуз,Meleuz
Миасс,Miass
Минеральные Воды,Mineral water
Минск,Minsk
Минусинск,Minusinsk
Михайловка,Mikhaylovka
Михайловск,Mikhailovsk
Мичуринск,Michurinsk
Могилёв,Mogilev
Мозырь,Mozyr
Молодечно,Molodechno
Москва,Moscow
Город Московский, City Moscowsky
Мурино,Murino
Мурманск,Murmansk
Муром,Moore
Мытищи,Mytishchi
Набережные Челны,Naberezhnye Chelny
Назрань,Nazran
Нальчик,Nalchik
Наро-Фоминск,Naro-Fominsk
Находка,find
Невинномысск,Nevinnomyssk
Нерюнгри,Neryungri
Нефтекамск,Neftekamsk
Нефтеюганск,Nefteyugansk
Нижневартовск,Nizhnevartovsk
Нижнекамск,Nizhnekamsk
Нижний Новгород,Nizhny Novgorod
Нижний Тагил,Nizhny Tagil
Новоалтайск,Novoaltaisk
Новокузнецк,Novokuznetsk
Новокуйбышевск,Novokuibyshevsk
Новомосковск,Novomoskovsk
Новополоцк,Novopolotsk
Новороссийск,Novorossiysk
Новосибирск,Novosibirsk
Новотроицк,Novotroitsk
Новоуральск,Novouralsk
Новочебоксарск,Novocheboksarsk
Новочеркасск,Novocherkassk
Новошахтинск,Novoshahtinsk
Новый Уренгой,New Urengoy
Ногинск,Noginsk
Норильск,Norilsk
Ноябрьск,Noyabrsk
Нур-Султан,Noor Sultan
Нягань,Nyagan
Обнинск,Obninsk
Одинцово,Odintsovo
Озёрск,Ozersk
Октябрьский,October
Омск,Omsk
Оренбург,Orenburg
Орехово-Зуево,Nut-Zuevo
Орск,Orsk
Орша,Orsha
Орёл,Eagle
Павлово,Paul's
Павловский Посад,Pavlovsky Posad
Пенза,Penza
Первоуральск,Pervouralsk
Пермь,Permian
Петергоф,Peterhof
Петрозаводск,Petrozavodsk
Петропавловск-Камчатский,Petropavlovsk-Kamchatsky
Пинск,Pinsk
Подольск,Podolsk
Полевской,Polevskoy
Прокопьевск,Prokopevsk
Прохладный,Chill
Псков,Pskov
Пушкин,Pushkin
Пушкино,Pushkino
Пятигорск,Pyatigorsk
Раменское,Ramenskoye
Ревда,Revda
Реутов,Reutov
Речица,Rechitsa
Ржев,Rzhev
Рославль,Roslavl
Россошь,Rossosh
Ростов-на-Дону,Rostov-on-Don
Рубцовск,Rubtsovsk
Рыбинск,Rybinsk
Рязань,Ryazan
Салават,Salavat
Сальск,Salsk
Самара,Samara
Самарканд,Samarkand
Санкт-Петербург,St. Petersburg
Саранск,Saransk
Сарапул,Sarapul
Саратов,Saratov
Саров,Sarov
Сатпаев,Satpayev
Светлогорск,Svetlogorsk
Свободный,Free
Севастополь,Sevastopol
Северодвинск,Severodvinsk
Североморск,Severomorsk
Северск,Seversk
Семей,Families
Сергиев Посад,Sergiev Posad
Серов,Serov
Серпухов,Serpukhov
Сертолово,Sertolovo
Сибай,Sibai
Симферополь,Simferopol
Славянск-на-Кубани,Slavyansk-na-Kubani
Слуцк,Slutsk
Смоленск,Smolensk
Снежинск,Snezhinsk
Солигорск,Soligorsk
Соликамск,Solikamsk
Солнечногорск,Solnechnogorsk
Сосновый Бор,Pinery
Сочи,Sochi
Ставрополь,Stavropol
Старый Оскол,Stary Oskol
Стерлитамак,Sterlitamak
Ступино,Stupino
Сургут,Surgut
Сызрань,Sizran
Сыктывкар,Syktyvkar
Таганрог,Taganrog
Талдыкорган,Taldykorgan
Тамбов,Tambov
Тараз,Taraz
Ташкент,Tashkent
Тбилиси,Tbilisi
Тверь,Tver
Темиртау,Temirtau
Тимашевск,Timashevsk
Тирасполь,Tiraspol
Тихвин,Tikhvin
Тихорецк,Tikhoretsk
Тобольск,Tobolsk
Тольятти,Tolyatti
Томск,Tomsk
Троицк,Troitsk
Туапсе,Tuapse
Туймазы,Tuimazy
Тула,Tula
Тюмень,Tyumen
Узловая,nodal
Улан-Удэ,Ulan-Ude
Ульяновск,Ulyanovsk
Уральск,Uralsk
Урус-Мартан,Urus-Martan
Усолье-Сибирское,Usole-Sibirskoe
Уссурийск,Ussuriisk
Усть-Илимск,Ust-Ilim
Усть-Каменогорск,Ust-Kamenogorsk
Уфа,Ufa
Ухта,Ukhta
Феодосия,Theodosius
Фергана,Fergana
Фрязино,Fryazino
Хабаровск,Khabarovsk
Ханты-Мансийск,Khanty-Mansiysk
Хасавюрт,Khasavyurt
Химки,Khimki
Чайковский,Chaikovsky
Чапаевск,Chapaevsk
Чебоксары,Cheboksary
Челябинск,Chelyabinsk
Черемхово,Cheremhovo
Череповец,Cherepovets
Черкесск,Cherkessk
Черногорск,Chernogorsk
Чехов,Czechs
Чистополь,Chistopol
Чита,Chita
Шадринск,Shadrinsk
Шали,shawls
Шахты,mine
Шуя,Shuya
Шымкент,Shymkent
Щекино,Shchekino
Щелково,Shchelkovo
Щербинка,Shcherbinka
Электросталь,electric steel
Элиста,Elista
Энгельс,Engels
Южно-Сахалинск,Yuzhno-Sakhalinsk
Юрга,Yurga
Якутск,Yakutsk
Ялта,Yalta
Ярославль,Yaroslavl
